productid,productname,category,unitprice,reorderlevel,storagetype
2000,Electronics-Be,Electronics,969.31,25,Warehouse
2001,Electronics-Be,Clothing,412.35,40,Retail
2002,Office-Family,Clothing,866.0,30,Warehouse
2003,Electronics-Training,Clothing,385.18,45,Retail
2004,Office-Where,Home,927.25,20,Warehouse
2005,Office-Huge,Home,428.78,50,Retail
2006,Office-Class,Clothing,198.0,60,Retail
2007,Clothing-Over,Electronics,583.39,35,Warehouse
2008,Electronics-Skin,Home,66.59,70,Retail
2009,Office-Raise,Clothing,66.31,75,Retail
2010,Electronics-Themselves,Clothing,77.84,65,Retail
2011,Electronics-Religious,Clothing,409.74,40,Warehouse
2012,Clothing-Artist,Electronics,623.19,30,Warehouse
2013,Office-Cultural,Home,935.36,20,Warehouse
2014,Clothing-Eat,Home,246.3,55,Retail
2015,Office-Itself,Clothing,674.97,35,Warehouse
2016,Home-He,Office,323.02,50,Retail
2017,Electronics-Feeling,Electronics,463.7,40,Warehouse
2018,Electronics-Nature,Electronics,542.26,35,Warehouse
2019,Home-History,Clothing,933.93,25,Warehouse
2020,Electronics-Share,Clothing,375.83,45,Retail
2021,Clothing-Skill,Office,835.41,25,Warehouse
2022,Home-Economy,Electronics,671.18,30,Warehouse
2023,Home-Yeah,Electronics,939.54,20,Warehouse
2024,Clothing-Paper,Home,124.27,65,Retail
2025,Electronics-Assume,Clothing,279.62,50,Retail
2026,Clothing-Use,Home,211.56,55,Retail
2027,Home-Purpose,Office,258.61,50,Retail
2028,Electronics-Take,Electronics,637.94,30,Warehouse
2029,Home-Yourself,Electronics,13.51,80,Retail
2030,Clothing-First,Home,169.97,60,Retail
2031,Office-Develop,Office,565.3,35,Warehouse
2032,Electronics-There,Electronics,945.6,20,Warehouse
2033,Clothing-Argue,Electronics,836.25,25,Warehouse
2034,Clothing-Feel,Office,136.17,65,Retail
2035,Home-According,Home,899.99,25,Warehouse
2036,Electronics-Candidate,Home,217.98,55,Retail
2037,Clothing-Meeting,Electronics,360.14,45,Warehouse
2038,Office-Soon,Clothing,926.51,20,Warehouse
2039,Clothing-Need,Clothing,976.44,20,Warehouse
2041,Home-Assume,Office,804.21,25,Warehouse
2042,Clothing-Lawyer,Home,167.61,60,Retail
2043,Electronics-Practice,Office,873.45,25,Warehouse
2044,Office-Society,Clothing,207.58,55,Retail
2045,Office-Next,Home,312.14,50,Retail
2047,Clothing-Hair,Office,334.98,45,Retail
2048,Electronics-Candidate,Home,357.63,45,Retail
2049,Office-Easy,Home,939.84,20,Warehouse
2050,Electronics-Young,Home,186.78,60,Retail
2051,Home-Century,Electronics,117.32,65,Retail
2052,Office-Year,Home,731.26,30,Warehouse
2053,Home-Ground,Office,610.15,35,Warehouse
2054,Electronics-Above,Office,900.51,20,Warehouse
2055,Clothing-Politics,Home,53.94,75,Retail
2056,Office-About,Electronics,524.72,35,Warehouse
2057,Clothing-Identify,Home,436.98,40,Retail
2058,Home-Wear,Home,666.75,30,Warehouse
2059,Electronics-Clear,Home,512.05,40,Warehouse
2060,Office-Term,Home,408.38,45,Retail
2061,Home-Quite,Clothing,199.92,55,Retail
2062,Office-Receive,Clothing,619.36,35,Warehouse
2063,Home-Good,Office,552.46,35,Warehouse
2064,Electronics-Stop,Home,294.04,50,Retail
2065,Office-Animal,Home,470.34,40,Retail
2066,Office-Occur,Clothing,516.06,40,Warehouse
2067,Clothing-Remain,Electronics,290.95,50,Retail
2068,Home-Read,Electronics,820.24,25,Warehouse
2069,Clothing-Garden,Home,232.39,55,Retail
2071,Clothing-Success,Office,615.16,35,Warehouse
2072,Electronics-Become,Office,420.3,40,Warehouse
2073,Clothing-Executive,Office,499.43,40,Warehouse
2074,Clothing-Strong,Clothing,659.5,30,Warehouse
2075,Electronics-Letter,Electronics,780.64,25,Warehouse
2076,Clothing-Affect,Clothing,806.07,25,Warehouse
2077,Office-Ball,Electronics,561.83,35,Warehouse
2078,Electronics-Film,Office,142.01,65,Retail
2079,Office-Who,Home,950.54,20,Warehouse
2080,Office-Doctor,Office,832.26,25,Warehouse
2081,Office-Light,Clothing,746.22,30,Warehouse
2082,Office-Figure,Office,266.6,50,Retail
2083,Clothing-Cut,Home,768.16,30,Warehouse
2084,Office-Stuff,Clothing,281.85,50,Retail
2085,Electronics-Officer,Home,242.15,55,Retail
2086,Home-Of,Home,894.1,25,Warehouse
2087,Electronics-Rather,Clothing,159.32,60,Retail
2088,Office-Evening,Clothing,709.35,30,Warehouse
2089,Electronics-Action,Office,413.52,40,Warehouse
2090,Office-Staff,Office,71.64,70,Retail
2091,Office-Mrs,Office,905.79,20,Warehouse
2092,Electronics-Add,Office,482.21,40,Warehouse
2093,Home-Real,Home,755.94,30,Warehouse
2094,Office-Fight,Clothing,493.35,40,Warehouse
2095,Home-Seem,Office,490.79,40,Warehouse
2096,Office-Discuss,Home,672.18,30,Warehouse
2097,Office-Recent,Clothing,842.1,25,Warehouse
2098,Clothing-Trouble,Electronics,907.86,20,Warehouse
2099,Electronics-Several,Electronics,646.32,40,Warehouse
