transactionid,saledate,customerid,productid,storeid,campaignid,saleamount,commissionpercent,orderchannel
1,2025-05-04,1034,2059,402,0,2048.2,11.6,Phone
2,2025-05-04,1066,2048,403,1,321.87,3.4,Mobile
3,2025-05-04,1116,2041,403,3,3216.84,12.3,Catalog
4,2025-05-04,1071,2096,404,2,1613.23,14.7,Online
6,2025-05-04,1089,2028,401,0,1275.88,8.9,Phone
7,2025-05-04,1193,2003,402,1,346.66,2.2,Mobile
8,2025-05-04,1005,2079,402,1,855.49,6.4,Catalog
9,2025-05-04,1032,2060,401,1,735.08,7.3,Online
11,2025-05-04,1042,2077,401,0,505.65,8.4,Phone
12,2025-05-04,1079,2013,401,2,0.0,2.0,Mobile
14,2025-05-04,1183,2025,401,1,503.32,9.0,Online
16,2025-05-04,1144,2005,403,3,1715.12,15.0,Phone
17,2025-05-04,1169,2047,401,2,535.97,6.4,Mobile
19,2025-05-04,1110,2046,404,1,30.09,2.3,Online
21,2025-05-04,1119,2055,403,2,0.0,6.5,Phone
22,2025-05-04,1062,2011,403,3,1229.22,8.0,Mobile
23,2025-05-04,1062,2096,404,3,672.18,8.0,Catalog
24,2025-05-04,1086,2003,404,2,924.43,6.7,Online
26,2025-05-04,1066,2043,403,2,698.76,7.2,Phone
27,2025-05-04,1142,2001,402,0,1237.05,8.8,Mobile
28,2025-05-04,1061,2092,404,3,482.21,3.5,Catalog
32,2025-05-04,1103,2088,402,2,0.0,2.0,Mobile
33,2025-05-04,1169,2074,403,3,0.0,2.0,Catalog
34,2025-05-04,1141,2067,403,3,872.85,8.1,Online
36,2025-05-04,1179,2058,403,2,1066.8,6.1,Phone
37,2025-05-04,1064,2029,401,1,12.16,4.3,Mobile
38,2025-05-04,1080,2015,402,1,3037.36,14.6,Catalog
39,2025-05-04,1055,2094,404,2,1578.72,13.8,Online
41,2025-05-04,9999,2037,402,2,288.11,2.0,Phone
42,2025-05-04,1045,2038,401,1,1667.72,12.1,Mobile
43,2025-05-04,1070,2005,401,2,686.05,8.2,Catalog
44,2025-05-04,1178,2016,404,0,0.0,2.0,Online
46,2025-05-04,1122,2056,403,1,944.5,7.5,Phone
