ProductID,ProductName,Category,UnitPrice
2000,Electronics-Be,Electronics,969.31
2001,Electronics-Be,Clothing,412.35
2002,Office-Family,Clothing,866.0
2003,Electronics-Training,Clothing,385.18
2004,Office-Where,Home,927.25
2005,Office-Huge,Home,428.78
2006,Office-Class,Clothing,198.0
2007,Clothing-Over,Electronics,583.39
2008,Electronics-Skin,Home,66.59
2009,Office-Raise,Clothing,66.31
2010,Electronics-Themselves,Clothing,77.84
2011,Electronics-Religious,Clothing,409.74
2012,Clothing-Artist,Electronics,623.19
2013,Office-Cultural,Home,935.36
2014,Clothing-Eat,Home,246.3
2015,Office-Itself,Clothing,674.97
2016,Home-He,Office,323.02
2017,Electronics-Feeling,Electronics,463.7
2018,Electronics-Nature,Electronics,542.26
2019,Home-History,Clothing,933.93
2020,Electronics-Share,Clothing,375.83
2021,Clothing-Skill,Office,835.41
2022,Home-Economy,Electronics,671.18
2023,Home-Yeah,Electronics,939.54
2024,Clothing-Paper,Home,124.27
2025,Electronics-Assume,Clothing,279.62
2026,Clothing-Use,Home,211.56
2027,Home-Purpose,Office,258.61
2028,Electronics-Take,Electronics,637.94
2029,Home-Yourself,Electronics,13.51
2030,Clothing-First,Home,169.97
2031,Office-Develop,Office,565.3
2032,Electronics-There,Electronics,945.6
2033,Clothing-Argue,Electronics,836.25
2034,Clothing-Feel,Office,136.17
2035,Home-According,Home,899.99
2036,Electronics-Candidate,Home,217.98
2037,Clothing-Meeting,Electronics,360.14
2038,Office-Soon,Clothing,926.51
2039,Clothing-Need,Clothing,976.44
2040,Clothing-Determine,Office,34.54
2041,Home-Assume,Office,804.21
2042,Clothing-Lawyer,Home,167.61
2043,Electronics-Practice,Office,873.45
2044,Office-Society,Clothing,207.58
2045,Office-Next,Home,312.14
2046,Clothing-Worry,Clothing,33.43
2047,Clothing-Hair,Office,334.98
2048,Electronics-Candidate,Home,357.63
2049,Office-Easy,Home,939.84
2050,Electronics-Young,Home,186.78
2051,Home-Century,Electronics,117.32
2052,Office-Year,Home,731.26
2053,Home-Ground,Office,610.15
2054,Electronics-Above,Office,900.51
2055,Clothing-Politics,Home,53.94
2056,Office-About,Electronics,524.72
2057,Clothing-Identify,Home,436.98
2058,Home-Wear,Home,666.75
2059,Electronics-Clear,Home,512.05
2060,Office-Term,Home,408.38
2061,Home-Quite,Clothing,199.92
2062,Office-Receive,Clothing,619.36
2063,Home-Good,Office,552.46
2064,Electronics-Stop,Home,294.04
2065,Office-Animal,Home,470.34
2066,Office-Occur,Clothing,516.06
2067,Clothing-Remain,Electronics,290.95
2068,Home-Read,Electronics,820.24
2069,Clothing-Garden,Home,232.39
2070,Clothing-About,Clothing,34.18
2071,Clothing-Success,Office,615.16
2072,Electronics-Become,Office,420.3
2073,Clothing-Executive,Office,499.43
2074,Clothing-Strong,Clothing,659.5
2075,Electronics-Letter,Electronics,780.64
2076,Clothing-Affect,Clothing,806.07
2077,Office-Ball,Electronics,561.83
2078,Electronics-Film,Office,142.01
2079,Office-Who,Home,950.54
2080,Office-Doctor,Office,832.26
2081,Office-Light,Clothing,746.22
2082,Office-Figure,Office,266.6
2083,Clothing-Cut,Home,768.16
2084,Office-Stuff,Clothing,281.85
2085,Electronics-Officer,Home,242.15
2086,Home-Of,Home,894.1
2087,Electronics-Rather,Clothing,159.32
2088,Office-Evening,Clothing,709.35
2089,Electronics-Action,Office,413.52
2090,Office-Staff,Office,71.64
2091,Office-Mrs,Office,905.79
2092,Electronics-Add,Office,482.21
2093,Home-Real,Home,755.94
2094,Office-Fight,Clothing,493.35
2095,Home-Seem,Office,490.79
2096,Office-Discuss,Home,672.18
2097,Office-Recent,Clothing,842.1
2098,Clothing-Trouble,Electronics,907.86
2099,Electronics-Several,Electronics,646.32
